appid,name,price,positive_ratings,negative_ratings,total_ratings
1008320,Epic Adventures: La Jangada,2.89,4,1,5
1008410,Fear Simulator,6.19,8,5,13
1008510,Who Is This Man,7.19,34,10,44
1008530,Away From Earth: Moon,1.69,39,25,64
1008610,The Trials of Olympus II: Wrath of the Gods,5.19,3,1,4
1008680,Crazy Archery,0.79,12,4,16
1008710,Wet Girl,0.79,1720,76,1796
1008740,Cube Mission,1.69,9,1,10
1008800,Shards of Infinity,5.79,10,1,11
1008820,LOTUS Minigames: United Nations,4.79,4,0,4
1008830,孙悟空大战机器金刚 / Sun Wukong VS Robot,2.09,48,0,48
1008850,Bounty Hunter,4.79,1,2,3
1008870,Excive A-1000,4.79,9,1,10
1008910,心塞男孩 Sadboy,0.79,61,16,77
1008920,Photographs,9.29,22,7,29
1009030,Hello Emoji: Drawing to Solve Puzzles,0.79,1,0,1
1009040,Last Days Motel,0.00,24,21,45
1009070,没猫病制作人 / Psychosoft Ltd.,1.69,7,19,26
10090,Call of Duty: World at War,19.99,19595,1483,21078
1009100,Zombie Killer - Type to Shoot!,3.99,0,1,1
1009150,Choconoa,9.29,1,0,1
1009180,Block of Rum,1.69,6,4,10
1009230,live Mince,3.99,0,4,4
1009350,Keepers Dungeon,2.89,5,0,5
1009370,Elephants Can't Jump,7.19,1,0,1
1009390,Insanus Express,7.19,9,0,9
1009460,Hello, Goodbye,23.79,5,0,5
1009590,Little Lost Robots,10.99,6,1,7
1009690,Saving Simon,0.79,1,1,2
1009700,Jewel Match Solitaire L'Amour,7.19,8,0,8
1009780,Tales of Sorrow: Strawsbrough Town,2.89,2,0,2
100980,3DCoat 4.8,95.99,75,5,80
1009810,Blood Island,0.79,1,1,2
1009900,Date Write,7.19,2,0,2
1009910,Ninja?,0.00,3,5,8
1009950,Once10,0.00,22,6,28
1009990,SCP022,0.00,144,31,175
1010000,Super Alpaca Bros.,0.79,1,0,1
10100,King's Quest™ Collection,14.99,125,32,157
1010120,UNDERWATER: STAY ALIVE,5.79,0,1,1
1010150,PASHTET,0.79,8,1,9
1010180,Space Rabbits in Space,7.19,7,0,7
1010230,Bleep Bloop,2.99,4,1,5
1010240,Changeling,15.49,50,2,52
1010330,THE TEAR,2.09,4,0,4
1010380,Tales of Ancient Nights,1.69,3,3,6
1010410,Dragon Roller Coaster VR,2.89,6,3,9
1010480,TRE HUN: Unity-Chan x Action,3.99,3,1,4
1010490,Spot Girls Difference,0.79,6,6,12
1010540,Ancient Anathema,3.99,8,5,13
1010590,Train Manager,3.99,1,2,3
1010650,T.A.P.,5.79,15,0,15
1010660,GACHIMUCHI REBIRTH,0.99,15,3,18
1010670,Dungeon Dreams,8.29,50,2,52
1010740,Scrapyard Robot Rampage,1.69,0,1,1
1010780,Wings of Glass 玻璃の羽,4.79,12,0,12
1010830,Mech Chip,3.99,10,0,10
1010850,東方翠神廻廊 〜 Faith in the Goddess of Suwa.,0.00,64,13,77
1010860,Hide and Seek,2.09,55,38,93
1010870,最后的47小时 - The Last 47 Hours,1.69,552,28,580
1010930,Aztec Tower,3.99,1,1,2
1010950,SmartyTale 2D,2.09,33,0,33
1010970,Dead Wishes,7.19,18,1,19
1011000,Infinite Art Museum,0.00,16,1,17
1011030,HENTAI MINESWEEPER,1.69,11,8,19
1011070,Nomads of the Fallen Star,10.49,23,5,28
10110,Space Quest™ Collection,9.99,143,42,185
1011130,Life is Pointless,0.79,22,3,25
1011140,Border Control,7.19,0,1,1
1011220,从前有个仙儿 Taoist immortal,2.09,23,16,39
1011230,高考工厂模拟(Crazy School Simulator),7.19,128,351,479
1011240,Dragon Chase,1.69,3,0,3
1011270,Bleeding Hunt VR Chap.1,2.09,29,9,38
1011310,PARSE ALLY,2.09,1,0,1
1011370,Outliver: Redemption,9.29,0,1,1
1011470,PacketStorm,5.00,4,1,5
1011510,Wizard And Minion Idle,0.00,48,10,58
1011550,Light The Way,5.19,10,3,13
1011620,Electric Sleep,3.99,6,0,6
1011630,Border Force,6.99,6,3,9
1011700,Walden, a game,14.49,6,0,6
1011740,DOZA 2: NOVOGODNIY PEREDOZ,1.69,5,1,6
1011760,Dragon Iris,1.69,1,1,2
1011820,Millionaire Dancer,7.19,1,1,2
