genre,avg_negative_ratio,game_count
Action;Adventure;Indie;Racing;Simulation;Sports;Early Access,35.65,2
Action;Adventure;Indie;Racing;Sports,4.75,3
Action;Adventure;Indie;Racing;Sports;Strategy,38.84,1
Action;Adventure;Indie;Racing;Strategy,18.27,2
Action;Adventure;Indie;Simulation,37.79,85
Action;Adventure;Indie;Simulation;Early Access,33.43,38
Action;Adventure;Indie;Simulation;Sports,14.29,3
Action;Adventure;Indie;Simulation;Sports;Early Access,50.00,1
Action;Adventure;Indie;Simulation;Strategy,36.61,16
Action;Adventure;Indie;Simulation;Strategy;Early Access,35.73,10
Action;Adventure;Indie;Sports,23.10,5
Action;Adventure;Indie;Sports;Early Access,5.00,2
Action;Adventure;Indie;Strategy,31.31,58
Action;Adventure;Indie;Strategy;Early Access,26.43,13
Action;Adventure;Massively Multiplayer,45.91,6
Action;Adventure;Massively Multiplayer;Early Access,23.01,2
Action;Adventure;Massively Multiplayer;RPG,39.31,3
Action;Adventure;Massively Multiplayer;RPG;Early Access,59.64,4
Action;Adventure;Massively Multiplayer;RPG;Simulation;Early Access,46.94,3
Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,31.92,3
Action;Adventure;Massively Multiplayer;RPG;Strategy;Early Access,21.62,1
Action;Adventure;Massively Multiplayer;Racing;Early Access,60.00,1
Action;Adventure;Massively Multiplayer;Racing;Simulation,100.00,1
Action;Adventure;Massively Multiplayer;Simulation,50.19,3
Action;Adventure;Massively Multiplayer;Simulation;Early Access,69.81,2
Action;Adventure;Massively Multiplayer;Simulation;Strategy;Early Access,14.29,1
Action;Adventure;Massively Multiplayer;Strategy;Early Access,33.33,1
Action;Adventure;RPG,28.01,88
Action;Adventure;RPG;Early Access,29.03,19
Action;Adventure;RPG;Simulation,60.00,1
Action;Adventure;RPG;Simulation;Sports;Strategy,16.44,1
Action;Adventure;RPG;Simulation;Strategy,17.03,3
Action;Adventure;RPG;Sports;Early Access,44.44,1
Action;Adventure;RPG;Strategy,30.75,8
Action;Adventure;RPG;Strategy;Early Access,28.57,2
Action;Adventure;Racing,42.26,8
Action;Adventure;Racing;Early Access,30.00,2
Action;Adventure;Racing;RPG,49.77,2
Action;Adventure;Racing;RPG;Simulation,20.45,1
Action;Adventure;Racing;Simulation;Early Access,72.22,2
Action;Adventure;Racing;Simulation;Strategy,12.26,1
Action;Adventure;Simulation,39.70,36
Action;Adventure;Simulation;Early Access,30.17,5
Action;Adventure;Simulation;Strategy,63.00,5
Action;Adventure;Simulation;Strategy;Early Access,0.00,1
Action;Adventure;Sports,30.60,4
Action;Adventure;Strategy,25.14,24
Action;Adventure;Strategy;Early Access,50.00,1
Action;Casual,28.25,111
Action;Casual;Early Access,23.73,5
Action;Casual;Free to Play,39.16,9
Action;Casual;Free to Play;Indie,25.39,49
Action;Casual;Free to Play;Indie;Early Access,32.66,10
Action;Casual;Free to Play;Indie;Massively Multiplayer,61.67,2
Action;Casual;Free to Play;Indie;Massively Multiplayer;Early Access,14.85,1
Action;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy,44.44,1
Action;Casual;Free to Play;Indie;Massively Multiplayer;Simulation,18.75,1
Action;Casual;Free to Play;Indie;RPG,24.30,4
Action;Casual;Free to Play;Indie;RPG;Simulation;Strategy,100.00,1
Action;Casual;Free to Play;Indie;RPG;Sports;Early Access,34.85,1
Action;Casual;Free to Play;Indie;RPG;Strategy,60.54,1
Action;Casual;Free to Play;Indie;Racing,37.49,3
Action;Casual;Free to Play;Indie;Racing;Simulation;Sports;Early Access,46.91,1
Action;Casual;Free to Play;Indie;Racing;Simulation;Strategy,50.00,1
Action;Casual;Free to Play;Indie;Racing;Sports;Early Access,30.43,1
Action;Casual;Free to Play;Indie;Simulation,25.26,4
Action;Casual;Free to Play;Indie;Simulation;Sports,27.88,2
Action;Casual;Free to Play;Indie;Simulation;Sports;Early Access,22.41,1
Action;Casual;Free to Play;Indie;Simulation;Strategy,34.31,4
Action;Casual;Free to Play;Indie;Simulation;Strategy;Early Access,26.63,1
Action;Casual;Free to Play;Indie;Sports,18.55,3
Action;Casual;Free to Play;Indie;Strategy,34.51,8
Action;Casual;Free to Play;Indie;Strategy;Early Access,33.60,1
Action;Casual;Free to Play;Massively Multiplayer,36.15,5
Action;Casual;Free to Play;Massively Multiplayer;Simulation;Sports,38.93,1
Action;Casual;Free to Play;Massively Multiplayer;Simulation;Strategy,38.71,2
Action;Casual;Free to Play;Massively Multiplayer;Sports,27.49,1
Action;Casual;Free to Play;Massively Multiplayer;Strategy;Early Access,22.41,1
Action;Casual;Free to Play;RPG;Simulation;Strategy,61.34,1
Action;Casual;Free to Play;Simulation;Early Access,14.55,1
Action;Casual;Free to Play;Simulation;Strategy,61.21,1
Action;Casual;Free to Play;Strategy,44.00,3
Action;Casual;Indie,25.65,1004
Action;Casual;Indie;Early Access,17.95,94
Action;Casual;Indie;Massively Multiplayer,35.34,10
Action;Casual;Indie;Massively Multiplayer;Early Access,22.65,2
Action;Casual;Indie;Massively Multiplayer;RPG;Early Access,19.09,2
Action;Casual;Indie;Massively Multiplayer;RPG;Simulation,30.43,1
Action;Casual;Indie;Massively Multiplayer;RPG;Simulation;Early Access,36.75,1
Action;Casual;Indie;Massively Multiplayer;Racing,62.50,1
Action;Casual;Indie;Massively Multiplayer;Simulation,42.98,3
Action;Casual;Indie;Massively Multiplayer;Simulation;Early Access,10.71,2
Action;Casual;Indie;Massively Multiplayer;Simulation;Sports,56.25,2
Action;Casual;Indie;Massively Multiplayer;Simulation;Strategy,32.00,1
Action;Casual;Indie;Massively Multiplayer;Simulation;Strategy;Early Access,29.82,1
Action;Casual;Indie;Massively Multiplayer;Sports;Early Access,28.57,1
Action;Casual;Indie;Massively Multiplayer;Sports;Strategy,10.00,1
Action;Casual;Indie;Massively Multiplayer;Strategy,30.84,3
Action;Casual;Indie;Massively Multiplayer;Strategy;Early Access,19.68,3
Action;Casual;Indie;RPG,34.51,21
Action;Casual;Indie;RPG;Early Access,36.59,5
Action;Casual;Indie;RPG;Simulation,23.49,7
Action;Casual;Indie;RPG;Simulation;Sports;Strategy,0.00,1
Action;Casual;Indie;RPG;Simulation;Strategy,29.72,2
Action;Casual;Indie;RPG;Sports,33.33,2
Action;Casual;Indie;RPG;Sports;Early Access,2.08,1
Action;Casual;Indie;RPG;Sports;Strategy;Early Access,9.09,1
Action;Casual;Indie;RPG;Strategy,17.54,4
Action;Casual;Indie;RPG;Strategy;Early Access,48.15,3
Action;Casual;Indie;Racing,22.58,38
Action;Casual;Indie;Racing;Early Access,13.13,4
Action;Casual;Indie;Racing;RPG;Simulation;Sports;Early Access,100.00,1
Action;Casual;Indie;Racing;RPG;Simulation;Strategy;Early Access,32.11,1
Action;Casual;Indie;Racing;Simulation,32.22,12
Action;Casual;Indie;Racing;Simulation;Sports,43.10,14
Action;Casual;Indie;Racing;Simulation;Sports;Early Access,32.00,1
Action;Casual;Indie;Racing;Simulation;Sports;Strategy,65.38,2
Action;Casual;Indie;Racing;Simulation;Sports;Strategy;Early Access,100.00,1
Action;Casual;Indie;Racing;Simulation;Strategy,70.00,2
Action;Casual;Indie;Racing;Sports,26.06,16
Action;Casual;Indie;Racing;Sports;Early Access,8.33,2
Action;Casual;Indie;Racing;Sports;Strategy;Early Access,0.00,1
Action;Casual;Indie;Racing;Strategy,6.67,1
Action;Casual;Indie;Simulation,29.88,94
Action;Casual;Indie;Simulation;Early Access,43.81,13
Action;Casual;Indie;Simulation;Sports,32.37,19
Action;Casual;Indie;Simulation;Sports;Early Access,30.42,10
Action;Casual;Indie;Simulation;Sports;Strategy,21.88,1
Action;Casual;Indie;Simulation;Strategy,34.80,47
Action;Casual;Indie;Simulation;Strategy;Early Access,28.83,10
Action;Casual;Indie;Sports,20.53,60
Action;Casual;Indie;Sports;Early Access,21.55,15
Action;Casual;Indie;Sports;Strategy,27.16,4
Action;Casual;Indie;Strategy,28.68,120
Action;Casual;Indie;Strategy;Early Access,26.26,14
Action;Casual;Massively Multiplayer,34.54,3
Action;Casual;Massively Multiplayer;Racing;Simulation;Sports;Early Access,31.11,1
Action;Casual;Massively Multiplayer;Simulation;Strategy,75.00,1
Action;Casual;Massively Multiplayer;Strategy;Early Access,0.00,1
Action;Casual;RPG,21.01,3
Action;Casual;RPG;Sports,100.00,1
Action;Casual;RPG;Strategy,78.57,1
Action;Casual;Racing,31.78,7
Action;Casual;Racing;Simulation,50.00,1
Action;Casual;Racing;Simulation;Sports,25.00,2
Action;Casual;Racing;Sports,0.00,1
Action;Casual;Simulation,36.75,32
Action;Casual;Simulation;Early Access,42.62,5
Action;Casual;Simulation;Sports,33.15,8
Action;Casual;Simulation;Sports;Early Access,33.33,2
Action;Casual;Simulation;Sports;Strategy,38.59,4
Action;Casual;Simulation;Strategy,27.02,12
Action;Casual;Simulation;Strategy;Early Access,50.89,2
Action;Casual;Sports,11.98,11
Action;Casual;Sports;Strategy,33.33,1
Action;Casual;Strategy,38.58,14
Action;Casual;Strategy;Early Access,43.53,4
Action;Early Access,35.42,48
Action;Free to Play,32.76,40
Action;Free to Play;Early Access,40.96,11
Action;Free to Play;Indie,24.77,105
Action;Free to Play;Indie;Early Access,31.51,24
Action;Free to Play;Indie;Massively Multiplayer,39.11,11
Action;Free to Play;Indie;Massively Multiplayer;Early Access,35.52,1
Action;Free to Play;Indie;Massively Multiplayer;RPG,37.98,4
Action;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,31.49,3
Action;Free to Play;Indie;Massively Multiplayer;RPG;Simulation,27.83,1
Action;Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access,58.96,1
Action;Free to Play;Indie;Massively Multiplayer;Racing;Simulation;Early Access,33.41,1
Action;Free to Play;Indie;Massively Multiplayer;Racing;Sports;Strategy,29.03,1
Action;Free to Play;Indie;Massively Multiplayer;Simulation,33.84,1
Action;Free to Play;Indie;Massively Multiplayer;Sports,40.00,1
Action;Free to Play;Indie;Massively Multiplayer;Strategy,37.25,4
Action;Free to Play;Indie;Massively Multiplayer;Strategy;Early Access,75.40,1
Action;Free to Play;Indie;RPG,25.91,4
Action;Free to Play;Indie;RPG;Early Access,15.17,2
Action;Free to Play;Indie;RPG;Strategy,29.79,3
Action;Free to Play;Indie;RPG;Strategy;Early Access,28.61,1
Action;Free to Play;Indie;Racing,51.52,1
Action;Free to Play;Indie;Racing;Simulation;Sports;Early Access,52.25,1
Action;Free to Play;Indie;Racing;Strategy,46.43,1
Action;Free to Play;Indie;Simulation,32.51,3
Action;Free to Play;Indie;Simulation;Early Access,24.53,1
Action;Free to Play;Indie;Simulation;Sports,36.84,1
Action;Free to Play;Indie;Simulation;Strategy,24.88,2
Action;Free to Play;Indie;Sports;Early Access,32.43,2
Action;Free to Play;Indie;Strategy,31.16,8
Action;Free to Play;Indie;Strategy;Early Access,41.49,7
Action;Free to Play;Massively Multiplayer,34.42,17
Action;Free to Play;Massively Multiplayer;Early Access,31.35,3
Action;Free to Play;Massively Multiplayer;RPG,41.29,13
Action;Free to Play;Massively Multiplayer;RPG;Early Access,48.60,1
Action;Free to Play;Massively Multiplayer;RPG;Simulation;Strategy,54.38,1
Action;Free to Play;Massively Multiplayer;RPG;Strategy,45.09,4
Action;Free to Play;Massively Multiplayer;Racing,55.41,2
Action;Free to Play;Massively Multiplayer;Racing;Early Access,45.18,1
Action;Free to Play;Massively Multiplayer;Racing;Sports;Strategy,22.21,1
Action;Free to Play;Massively Multiplayer;Simulation,31.01,4
Action;Free to Play;Massively Multiplayer;Simulation;Early Access,40.80,1
Action;Free to Play;Massively Multiplayer;Simulation;Sports,60.71,1
Action;Free to Play;Massively Multiplayer;Simulation;Strategy,37.75,2
Action;Free to Play;Massively Multiplayer;Strategy,41.35,4
Action;Free to Play;Massively Multiplayer;Strategy;Early Access,34.48,1
